Entry Time,Entry Price,Exit Time,Exit Price,PnL,Instrument
09:16:59,1.8,09:16:59,1.6,0.1999999999999999,BANKNIFTY02MAR2348000CE.NFO
09:17:59,1948.75,09:17:59,6817.5,4868.75,BANKNIFTY29MAR2347500PE.NFO
09:17:59,4343.5,09:17:59,40644.0,36300.5,BANKNIFTY-I.NFO
09:17:59,2279.05,09:17:59,40950.0,38670.95,BANKNIFTY-III.NFO
09:17:59,2609.75,09:17:59,40847.7,38237.95,BANKNIFTY-II.NFO
09:17:59,3492.65,09:17:59,4200.0,707.3499999999999,BANKNIFTY27APR2345000PE.NFO
09:18:59,3195.65,09:18:59,4580.65,1384.9999999999995,BANKNIFTY29MAR2336000CE.NFO
